Sum of Sales,Column Labels,,,
Row Labels,Consumer,Corporate,Home Office,Grand Total
Central,250210.522,152031.4968,90404.8944,492646.9132
East,347906.605,195897.425,125714.696,669518.726
South,194702.213,120546.8745,73902.3715,389151.459
West,355241.191,220018.2785,134960.215,710219.6845
Grand Total,1148060.531,688494.0748,424982.1769,2261536.783
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Row Labels,Sum of Sales,,,
Technology,827455.873,,,
Furniture,728658.5757,,,
Office Supplies,705422.334,,,
Grand Total,2261536.783,,,
